수면시간,학교활동 시간,미디어여가활동시간
801-1000,0,480
801-1000,0,130
801-1000,0,420
801-1000,0,300
801-1000,350,30
801-1000,0,200
801-1000,0,340
801-1000,0,220
801-1000,290,40
801-1000,0,390
801-1000,0,120
801-1000,0,70
801-1000,0,240
801-1000,0,110
801-1000,0,190
801-1000,0,70
801-1000,0,320
801-1000,0,50
801-1000,0,200
801-1000,0,340
801-1000,0,80
801-1000,0,0
801-1000,0,350
801-1000,0,190
801-1000,400,30
801-1000,0,260
801-1000,0,60
801-1000,0,0
801-1000,0,100
801-1000,0,20
801-1000,0,340
801-1000,0,360
801-1000,0,190
801-1000,0,230
801-1000,0,60
801-1000,0,190
801-1000,0,130
801-1000,0,20
801-1000,0,170
801-1000,0,200
801-1000,340,30
801-1000,230,0
801-1000,0,100
801-1000,0,310
801-1000,0,280
801-1000,0,320
801-1000,0,200
801-1000,0,120
801-1000,0,110
801-1000,0,290
801-1000,0,340
801-1000,0,110
801-1000,0,260
801-1000,0,230
801-1000,0,310
801-1000,0,350
801-1000,0,240
801-1000,430,40
801-1000,0,310
801-1000,0,140
801-1000,0,140
801-1000,0,100
801-1000,0,0
801-1000,0,150
801-1000,0,120
801-1000,0,0
801-1000,70,190
801-1000,0,550
801-1000,0,150
801-1000,0,80
801-1000,0,330
801-1000,0,170
801-1000,0,170
801-1000,0,240
801-1000,0,210
801-1000,0,180
801-1000,0,80
801-1000,0,190
801-1000,0,110
801-1000,0,50
801-1000,0,170
801-1000,0,180
801-1000,0,160
801-1000,0,200
801-1000,0,80
801-1000,0,90
801-1000,0,90
801-1000,0,0
801-1000,0,200
801-1000,0,30
801-1000,0,90
801-1000,0,90
801-1000,0,80
801-1000,0,350
801-1000,0,190
801-1000,0,140
801-1000,0,220
801-1000,0,230
801-1000,0,180
1000+,0,170
1000+,0,430
1000+,0,80
1000+,0,240
1000+,0,0
1000+,0,330
1000+,0,170
1000+,0,100
1000+,0,310
1000+,0,170
1000+,0,80
1000+,0,140
1000+,0,200
1000+,0,60
1000+,0,390
